from	to	Type	Coverage	OdName	AREA	AreaName	REG	RegName	DEV	DevName	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Azerbaijan	Armenia	Immigrants	Both	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	109	84	219	223	178	233	173	169	189	268	..	..	..	..
Belarus	Armenia	Immigrants	Both	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8	9	12	17	7	9	15	7	11	2	..	..	..	..
Bulgaria	Armenia	Immigrants	Both	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	2	1	0	0	0	..	..	..	..
Czech Republic	Armenia	Immigrants	Both	Czech Republic	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	0	0	0	0	0	0	..	..	..	..
Estonia	Armenia	Immigrants	Both	Estonia	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	0	..	..	..	..
France	Armenia	Immigrants	Both	France	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	1	..	..	..	..
Georgia	Armenia	Immigrants	Both	Georgia	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	222	194	111	172	118	112	123	140	38	44	..	..	..	..
Germany	Armenia	Immigrants	Both	Germany	908	Europe	926	Western Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	1	0	0	0	0	0	0	..	..	..	..
Greece	Armenia	Immigrants	Both	Greece	908	Europe	925	Southern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	1	0	0	0	0	0	3	..	..	..	..
Iran (Islamic Republic of)	Armenia	Immigrants	Both	Iran (Islamic Republic of)	935	Asia	5501	Southern Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	4	0	..	..	..	..
Ireland	Armenia	Immigrants	Both	Ireland	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	2	0	0	..	..	..	..
Israel	Armenia	Immigrants	Both	Israel	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	1	1	0	1	5	0	..	..	..	..
Kazakhstan	Armenia	Immigrants	Both	Kazakhstan	935	Asia	5500	Central Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	14	10	11	15	12	10	23	12	6	7	..	..	..	..
Kyrgyzstan	Armenia	Immigrants	Both	Kyrgyzstan	935	Asia	5500	Central Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	4	2	4	1	7	0	0	0	0	..	..	..	..
Latvia	Armenia	Immigrants	Both	Latvia	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	1	0	1	0	0	0	0	..	..	..	..
Lebanon	Armenia	Immigrants	Both	Lebanon	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3	1	1	0	0	0	0	0	..	..	..	..
Lithuania	Armenia	Immigrants	Both	Lithuania	908	Europe	924	Northern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1	0	0	0	0	0	1	0	..	..	..	..
Republic of Moldova	Armenia	Immigrants	Both	Republic of Moldova	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4	5	4	3	4	3	6	5	0	0	..	..	..	..
Russian Federation	Armenia	Immigrants	Both	Russian Federation	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	578	847	831	862	796	814	590	524	433	361	..	..	..	..
Slovakia	Armenia	Immigrants	Both	Slovakia	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	1	0	0	..	..	..	..
Syrian Arab Republic	Armenia	Immigrants	Both	Syrian Arab Republic	935	Asia	922	Western Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	0	0	0	0	0	0	1	..	..	..	..
Tajikistan	Armenia	Immigrants	Both	Tajikistan	935	Asia	5500	Central Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4	0	12	3	2	0	1	0	1	0	..	..	..	..
Turkmenistan	Armenia	Immigrants	Both	Turkmenistan	935	Asia	5500	Central Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13	8	3	1	10	5	4	0	0	3	..	..	..	..
Ukraine	Armenia	Immigrants	Both	Ukraine	908	Europe	923	Eastern Europe	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	101	94	49	86	60	55	41	31	21	17	..	..	..	..
United States of America	Armenia	Immigrants	Both	United States of America	905	Northern America	905	Northern America	901	Developed regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6	4	5	8	6	9	12	13	..	..	..	..
Uzbekistan	Armenia	Immigrants	Both	Uzbekistan	935	Asia	5500	Central Asia	902	Developing regions	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16	20	5	12	23	16	4	5	5	1	..	..	..	..
Unknown	Armenia	Immigrants	Both	Unknown	999	World	999	World	999	World	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	697	489	442	520	296	221	348	206	138	140	..	..	..	..
Australia	Afghanistan	Emigrants	Both	Afghanistan	935	Asia	5501	Southern Asia	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	30	70	80	120	70	80	120	..	..	..	..	..
Australia	Albania	Emigrants	Both	Albania	908	Europe	925	Southern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	10	10	10	20	30	60	50	40	40	30	40	30	30	30	..	..	..	..	..
Australia	Algeria	Emigrants	Both	Algeria	903	Africa	912	Northern Africa	902	Developing regions	20	10	10	10	10	10	0	10	0	20	20	20	10	10	10	0	0	10	10	10	10	0	10	10	20	20	30	40	50	..	..	..	..	..
Australia	American Samoa	Emigrants	Both	American Samoa	909	Oceania	957	Polynesia	902	Developing regions	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Andorra	Emigrants	Both	Andorra	908	Europe	925	Southern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Angola	Emigrants	Both	Angola	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	20	20	0	10	10	20	40	20	10	10	20	10	..	..	..	..	..
Australia	Anguilla	Emigrants	Both	Anguilla	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Antigua and Barbuda	Emigrants	Both	Antigua and Barbuda	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Argentina	Emigrants	Both	Argentina	904	Latin America and the Caribbean	931	South America	902	Developing regions	280	260	190	260	270	250	200	180	270	260	240	280	380	350	260	250	210	250	300	300	290	280	320	300	380	360	370	360	460	..	..	..	..	..
Australia	Armenia	Emigrants	Both	Armenia	935	Asia	922	Western Asia	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	0	20	20	20	10	10	..	..	..	..	..
Australia	Aruba	Emigrants	Both	Aruba	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Australia	Emigrants	Both	Australia	909	Oceania	927	Australia and New Zealand	901	Developed regions	320	250	170	200	180	110	110	50	20	10	10	10	0	0	0	10	0	0	0	0	0	60	60	10	30	20	10	10	810	..	..	..	..	..
Australia	Austria	Emigrants	Both	Austria	908	Europe	926	Western Europe	901	Developed regions	270	270	330	260	280	270	230	250	300	350	480	370	470	430	400	370	330	420	400	470	480	860	780	660	900	860	900	480	360	..	..	..	..	..
Australia	Azerbaijan	Emigrants	Both	Azerbaijan	935	Asia	922	Western Asia	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	10	10	10	30	20	10	20	20	10	..	..	..	..	..
Australia	Bahamas	Emigrants	Both	Bahamas	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	10	0	10	0	0	10	10	10	20	10	0	0	0	0	0	0	10	20	20	20	20	20	10	10	20	10	10	20	10	..	..	..	..	..
Australia	Bahrain	Emigrants	Both	Bahrain	935	Asia	922	Western Asia	902	Developing regions	60	90	80	90	100	40	90	80	110	130	110	100	160	190	200	100	70	90	160	240	240	250	280	350	340	360	340	270	150	..	..	..	..	..
Australia	Bangladesh	Emigrants	Both	Bangladesh	935	Asia	5501	Southern Asia	902	Developing regions	220	140	170	180	160	140	140	140	110	180	130	230	200	190	180	190	210	270	290	290	360	480	470	780	480	540	480	500	530	..	..	..	..	..
Australia	Barbados	Emigrants	Both	Barbados	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	10	10	10	10	10	0	20	10	10	0	0	10	20	20	10	30	20	20	30	10	10	0	0	10	20	0	..	..	..	..	..
Australia	Belarus	Emigrants	Both	Belarus	908	Europe	923	Eastern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	20	20	10	10	10	20	..	..	..	..	..
Australia	Belgium	Emigrants	Both	Belgium	908	Europe	926	Western Europe	901	Developed regions	130	130	150	200	150	160	150	160	200	210	260	310	270	230	200	230	240	300	320	320	350	300	320	360	240	180	190	230	250	..	..	..	..	..
Australia	Belize	Emigrants	Both	Belize	904	Latin America and the Caribbean	916	Central America	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	10	0	10	0	0	0	0	..	..	..	..	..
Australia	Benin	Emigrants	Both	Benin	903	Africa	914	Western Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	10	10	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Bermuda	Emigrants	Both	Bermuda	905	Northern America	905	Northern America	901	Developed regions	10	10	10	10	10	0	20	20	10	10	30	10	10	20	10	30	20	10	20	30	30	30	40	30	30	10	30	40	10	..	..	..	..	..
Australia	Bhutan	Emigrants	Both	Bhutan	935	Asia	5501	Southern Asia	902	Developing regions	10	10	10	0	0	0	10	10	10	10	10	10	10	10	10	10	20	10	10	10	20	10	30	30	30	60	80	70	100	..	..	..	..	..
Australia	Bolivia (Plurinational State of)	Emigrants	Both	Bolivia (Plurinational State of)	904	Latin America and the Caribbean	931	South America	902	Developing regions	10	10	20	10	30	20	10	10	10	20	20	20	30	30	30	40	50	40	30	30	40	30	40	30	20	30	30	30	30	..	..	..	..	..
Australia	Bosnia and Herzegovina	Emigrants	Both	Bosnia and Herzegovina	908	Europe	925	Southern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	100	80	110	90	130	100	120	130	170	160	150	160	170	..	..	..	..	..
Australia	Botswana	Emigrants	Both	Botswana	903	Africa	913	Southern Africa	902	Developing regions	10	20	30	30	20	20	60	50	70	40	70	50	50	70	60	90	100	70	90	190	150	160	210	220	140	200	230	140	110	..	..	..	..	..
Australia	Brazil	Emigrants	Both	Brazil	904	Latin America and the Caribbean	931	South America	902	Developing regions	160	160	170	170	160	130	240	200	180	240	300	320	320	260	270	270	300	370	350	400	510	560	550	780	630	540	750	780	1010	..	..	..	..	..
Australia	British Virgin Islands	Emigrants	Both	British Virgin Islands	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	..	..	..	..	..
Australia	Brunei Darussalam	Emigrants	Both	Brunei Darussalam	935	Asia	920	South-Eastern Asia	902	Developing regions	100	140	160	120	100	100	140	170	420	340	370	490	530	510	520	490	660	690	760	560	590	640	660	550	580	410	430	400	420	..	..	..	..	..
Australia	Bulgaria	Emigrants	Both	Bulgaria	908	Europe	923	Eastern Europe	901	Developed regions	10	10	10	20	10	10	10	20	20	10	10	10	70	40	40	30	30	40	50	70	60	60	60	70	80	100	70	60	60	..	..	..	..	..
Australia	Burkina Faso	Emigrants	Both	Burkina Faso	903	Africa	914	Western Africa	902	Developing regions	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	10	0	..	..	..	..	..
Australia	Burundi	Emigrants	Both	Burundi	903	Africa	910	Eastern Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Cabo Verde	Emigrants	Both	Cabo Verde	903	Africa	914	Western Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Cambodia	Emigrants	Both	Cambodia	935	Asia	920	South-Eastern Asia	902	Developing regions	0	0	0	0	0	0	0	0	10	10	20	40	280	300	140	120	130	230	270	330	380	360	420	420	210	210	190	220	280	..	..	..	..	..
Australia	Cameroon	Emigrants	Both	Cameroon	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	10	10	10	..	..	..	..	..
Australia	Canada	Emigrants	Both	Canada	905	Northern America	905	Northern America	901	Developed regions	2400	2410	2360	2550	2380	2180	2570	2640	2850	3360	3490	3400	3360	3080	3360	3740	4040	4060	4090	3910	4570	4660	4740	4920	5100	4800	5030	5450	6380	..	..	..	..	..
Australia	Cayman Islands	Emigrants	Both	Cayman Islands	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	10	10	20	20	30	40	20	20	40	40	60	50	..	..	..	..	..
Australia	Central African Republic	Emigrants	Both	Central African Republic	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Chad	Emigrants	Both	Chad	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	10	0	10	10	0	0	10	0	0	..	..	..	..	..
Australia	Chile	Emigrants	Both	Chile	904	Latin America and the Caribbean	931	South America	902	Developing regions	250	250	170	190	200	130	190	190	270	310	450	480	550	590	570	470	440	510	480	420	410	350	440	430	540	470	530	560	590	..	..	..	..	..
Australia	China	Emigrants	Both	China	935	Asia	906	Eastern Asia	902	Developing regions	100	140	230	250	320	460	510	650	1020	1130	1140	2880	4250	5350	3600	4110	4260	5400	6690	7920	8300	8800	10180	12930	9180	9400	10270	11480	12900	..	..	..	..	..
Australia	China, Hong Kong Special Administrative Region	Emigrants	Both	China, Hong Kong Special Administrative Region	935	Asia	906	Eastern Asia	902	Developing regions	2000	2020	1900	2080	2260	2420	2650	3070	3790	4620	6610	9460	10150	9950	10180	10490	10200	11290	10370	10190	11700	12120	12820	12600	8010	8550	8920	8730	8610	..	..	..	..	..
Australia	China, Macao Special Administrative Region	Emigrants	Both	China, Macao Special Administrative Region	935	Asia	906	Eastern Asia	902	Developing regions	70	30	10	10	10	20	10	40	30	60	80	130	110	150	180	150	150	160	160	100	160	130	150	200	130	120	200	240	270	..	..	..	..	..
Australia	China, Taiwan Province of China	Emigrants	Both	China, Taiwan Province of China	935	Asia	906	Eastern Asia	902	Developing regions	90	70	100	120	110	140	170	250	280	410	620	1080	1650	1530	1690	1840	2120	2420	2060	2120	2310	2340	2360	2850	2590	2350	2260	2380	2380	..	..	..	..	..
Australia	Colombia	Emigrants	Both	Colombia	904	Latin America and the Caribbean	931	South America	902	Developing regions	50	40	50	50	50	20	40	30	40	40	60	60	130	110	80	90	90	120	120	100	160	220	290	410	230	210	180	270	370	..	..	..	..	..
Australia	Comoros	Emigrants	Both	Comoros	903	Africa	910	Eastern Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Congo	Emigrants	Both	Congo	903	Africa	911	Middle Africa	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	10	10	10	10	20	10	..	..	..	..	..
Australia	Cook Islands	Emigrants	Both	Cook Islands	909	Oceania	957	Polynesia	902	Developing regions	20	40	20	30	40	40	70	50	80	40	90	80	90	90	90	80	70	70	90	90	130	90	80	100	160	140	160	180	90	..	..	..	..	..
Australia	Costa Rica	Emigrants	Both	Costa Rica	904	Latin America and the Caribbean	916	Central America	902	Developing regions	0	0	0	10	0	0	10	10	10	10	10	10	20	10	20	20	30	20	20	20	10	30	20	30	30	30	20	40	30	..	..	..	..	..
Australia	Côte d'Ivoire	Emigrants	Both	Côte d'Ivoire	903	Africa	914	Western Africa	902	Developing regions	10	0	0	10	0	10	0	0	0	0	0	0	0	0	10	0	10	10	0	0	10	10	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Croatia	Emigrants	Both	Croatia	908	Europe	925	Southern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	120	180	350	410	500	570	630	440	400	360	340	360	420	400	430	450	390	..	..	..	..	..
Australia	Cuba	Emigrants	Both	Cuba	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	10	10	0	10	10	10	10	..	..	..	..	..
Australia	Cyprus	Emigrants	Both	Cyprus	935	Asia	922	Western Asia	902	Developing regions	180	180	170	220	210	240	230	220	270	220	350	340	480	390	360	330	280	240	290	280	290	230	240	230	250	220	220	220	210	..	..	..	..	..
Australia	Czech Republic	Emigrants	Both	Czech Republic	908	Europe	923	Eastern Europe	901	Developed regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	70	180	210	210	200	180	200	160	200	220	220	230	240	220	..	..	..	..	..
Australia	Democratic People's Republic of Korea	Emigrants	Both	Democratic People's Republic of Korea	935	Asia	906	Eastern Asia	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	..	..	..	..	..
Australia	Democratic Republic of the Congo	Emigrants	Both	Democratic Republic of the Congo	903	Africa	911	Middle Africa	902	Developing regions	10	0	10	10	10	0	10	20	20	10	20	30	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Denmark	Emigrants	Both	Denmark	908	Europe	924	Northern Europe	901	Developed regions	190	170	240	340	290	270	280	250	310	360	460	480	400	380	390	470	470	490	430	410	410	400	390	410	390	380	400	380	400	..	..	..	..	..
Australia	Djibouti	Emigrants	Both	Djibouti	903	Africa	910	Eastern Africa	902	Developing regions	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	..	..	..
Australia	Dominica	Emigrants	Both	Dominica	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	10	10	0	10	0	0	10	..	..	..	..	..
Australia	Dominican Republic	Emigrants	Both	Dominican Republic	904	Latin America and the Caribbean	915	Caribbean	902	Developing regions	0	10	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	10	0	0	0	10	0	0	0	0	0	0	0	..	..	..	..	..
