name_original	name_display	display
Samoa	Samoa	1
San Marino	San Marino	1
Sao Tome and Principe	Sao Tome and Principe	1
Saudi Arabia	Saudi Arabia	1
Senegal	Senegal	1
Serbia	Serbia	1
Seychelles	Seychelles	1
Sierra Leone	Sierra Leone	1
Singapore	Singapore	1
Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	1
Slovakia	Slovakia	1
Slovenia	Slovenia	1
Solomon Islands	Solomon Islands	1
Somalia	Somalia	1
South Africa	South Africa	1
South America	South America	0
South Sudan	South Sudan	1
South-Eastern Asia	South-Eastern Asia	1
Southern Africa	Southern Africa	1
Southern Asia	Southern Asia	1
Southern Europe	Southern Europe	1
Spain	Spain	1
Sri Lanka	Sri Lanka	1
State of Palestine	State of Palestine	1
Sub-Saharan Africa	Sub-Saharan Africa	1
Sudan	Sudan	1
Suriname	Suriname	1
Swaziland	Swaziland	1
Sweden	Sweden	1
Switzerland	Switzerland	1
Syrian Arab Republic	Syrian Arab Republic	1
Tajikistan	Tajikistan	1
TFYR Macedonia	TFYR Macedonia	1
Thailand	Thailand	1
Timor-Leste	Timor-Leste	1
Togo	Togo	1
Tokelau	Tokelau	1
Tonga	Tonga	1
Trinidad and Tobago	Trinidad and Tobago	1
Tunisia	Tunisia	1
Turkey	Turkey	1
Turkmenistan	Turkmenistan	1
Turks and Caicos Islands	Turks and Caicos Islands	1
Tuvalu	Tuvalu	1
Uganda	Uganda	1
Ukraine	Ukraine	1
United Arab Emirates	United Arab Emirates	1
United Kingdom	United Kingdom	1
United Republic of Tanzania	United Republic of Tanzania	1
United States of America	United States of America	1
United States Virgin Islands	United States Virgin Islands	1
Upper-middle-income countries	Upper-middle-income countries	1
Uruguay	Uruguay	1
Uzbekistan	Uzbekistan	1
Vanuatu	Vanuatu	1
Venezuela (Bolivarian Republic of)	Venezuela (Bolivarian Republic of)	1
Viet Nam	Viet Nam	1
Wallis and Futuna Islands	Wallis and Futuna Islands	1
Western Africa	Western Africa	1
Western Asia	Western Asia	1
Western Europe	Western Europe	1
Western Sahara	Western Sahara	1
WORLD	WORLD	1
Yemen	Yemen	1
Zambia	Zambia	1
Zimbabwe	Zimbabwe	1
